item_name,item_code,created_at,size,quantity,price,store_type
"Long-grain rice, parboiled, WKB",110111101,5/8/16 7:28 PM,1,1,19.2,small_medium_shop
"Diesel fuel, normal",110722104,8/14/16 1:38 PM,1,1,15.54,specialized_shop
"Instant noodles, any flavor, WKB",110111504,5/29/16 3:46 PM,85,1,15,small_medium_shop
"Two-bedroom apartment, 80-120 m2",1104111113,4/24/16 10:43 PM,1,1,5800,other
"Petrol, Super",110722102,4/18/16 12:05 AM,1,1,15.53,specialized_shop
"Hybrid bicycle, WKB",110713104,3/27/16 12:25 PM,1,1,5500,small_medium_shop
"Fresh apples, typical local variety",110116111,5/22/16 11:37 PM,1,1,29.9,small_medium_shop
"Hybrid bicycle, WKB",110713104,3/27/16 10:11 PM,1,1,10650,small_medium_shop
"Urban tram (rail) or tube, single ticket",110731104,6/12/16 10:45 PM,1,1,0.6,None
"Petrol, Super",110722102,8/7/16 7:14 PM,1,1,18.46,specialized_shop
"Sunflower oil, BL",110115301,5/2/16 2:58 PM,1500,1,20.58,small_medium_shop
"Chicken eggs, caged hen, large size",110114401,6/7/16 10:18 PM,1,6,16,small_medium_shop
"Diesel fuel, normal",110722104,4/10/16 6:28 PM,1,1,14.99,specialized_shop
"Yoghurt, plain, WKB",110114203,5/22/16 6:18 PM,190,1,11.5,small_medium_shop
"Diesel fuel, normal",110722104,4/2/16 5:43 PM,1,1,14.91,specialized_shop
"Petrol, Super",110722102,6/2/16 9:47 PM,1,1,17.48,specialized_shop
"COCA COLA / PEPSI COLA, can",110122102,2/20/16 6:22 PM,354,1,8.7,
"Potato chips (crisps), WKB",110117304,3/28/16 3:12 PM,160,1,46,small_medium_shop
Fresh onions,110117104,8/14/16 6:21 PM,1,1,18.9,small_medium_shop
"Men's sport shoes, ADIDAS, ASICS, NIKE",110321103,3/5/16 9:33 PM,1,1,1179,
"Men's blue jeans, WKB-L",110312107,4/20/16 1:07 PM,1,1,390,
"One-bedroom apartment, 40-60 m2",1104111110,4/10/16 4:12 AM,1,1,8000,other
"Cinema ticket, weekend",110942103,5/21/16 4:38 PM,1,1,130,private_service_provider
"Dry cleaning, men's two-piece suit",110314101,5/2/16 10:30 PM,1,1,155,private_service_provider
"Fresh bananas, standard",110116102,7/18/16 4:46 PM,1,1,24.9,
"Red wine, table wine, BL",110212101,2/1/16 2:20 PM,750,1,63,
"Men's sport shoes, ADIDAS, ASICS, NIKE",110321103,4/24/16 10:36 PM,1,1,2099,
"Men's blue jeans, WKB-L",110312107,5/22/16 5:07 PM,1,1,701,small_medium_shop
"Microwave oven, 16-22 l, WKB-L",110531103,3/29/16 1:20 PM,1,1,2764,
"White sugar, WKB",110118101,4/10/16 3:43 PM,1000,1,10.79,
"Bicycle, basic commuter, WKB",110713105,4/3/16 8:11 PM,1,1,5250,
"Plaster strips, plastic foil, WKB",110612105,4/18/16 8:18 PM,1,20,17,specialized_shop
"Plaster strips, plastic foil, WKB",110612105,8/7/16 10:02 PM,1,20,13.15,small_medium_shop
"Sunflower oil, BL",110115301,4/25/16 3:10 PM,900,1,25.39,market
"Football (soccer ball), WKB",110931110,4/3/16 7:04 PM,1,1,299,small_medium_shop
"Water, still, large bottle, WKB",110122101,4/29/16 3:37 PM,1500,1,8.14,small_medium_shop
"Toilet paper, multipack, WKB",111212111,4/17/16 11:33 PM,1,4,48.5,small_medium_shop
"Men's sport shoes, ADIDAS, ASICS, NIKE",110321103,8/7/16 5:41 PM,1,1,915,small_medium_shop
"Tomato ketchup, WKB",110119103,5/22/16 5:24 PM,400,1,33,small_medium_shop
"Bread, whole wheat, WKB",110111303,6/6/16 7:37 PM,540,1,62,
"Football (soccer ball), WKB",110931110,4/18/16 12:08 AM,1,1,243,
"Charcoal, sack",110453101,6/26/16 5:55 PM,4,1,53.9,market
"Men's condoms, WKB",110612103,6/5/16 7:59 PM,1,3,44,small_medium_shop
"Pizza marguerite, at restaurant",111111105,7/18/16 5:51 PM,1,1,58,private_service_provider
"Toilet paper, multipack, WKB",111212111,5/15/16 6:21 PM,1,4,33,small_medium_shop
"Petrol, Superplus",110722103,3/6/16 6:14 PM,1,1,17.89,specialized_shop
"Diesel fuel, normal",110722104,5/8/16 4:42 PM,1,1,16.48,specialized_shop
"Bread, white, sliced, WKB",110111305,5/2/16 9:01 PM,360,1,22.7,small_medium_shop
"Honey, mixed blossoms, BL",110118204,3/22/16 9:59 PM,500,1,87.89,
"Car battery,  55 Ah, WKB",110723105,4/17/16 11:22 PM,1,1,1150,specialized_shop
"Sunflower oil, BL",110115301,3/16/16 7:43 PM,900,1,15.1,small_medium_shop
"Studio apartment, 35-60 m2",1104111109,6/5/16 4:40 PM,1,1,7000,other
"Trolley, soft case, BL",111232104,6/6/16 4:45 PM,1,1,1290,
"Milk chocolate bar, WKB",110118301,5/22/16 11:27 PM,100,1,36,small_medium_shop
"Plaster strips, plastic foil, WKB",110612105,8/7/16 4:36 PM,1,25,39.5,small_medium_shop
"Water, still, large bottle, WKB",110122101,5/22/16 10:49 PM,1.5,1,12.7,small_medium_shop
"Instant noodles, any flavor, WKB",110111504,2/4/16 6:00 PM,85,1,13.5,small_medium_shop
"Honey, mixed blossoms, BL",110118204,3/7/16 7:43 PM,250,1,52.59,small_medium_shop
"Car battery,  55 Ah, WKB",110723105,3/21/16 1:36 PM,1,1,1800,specialized_shop
"Summer tire, R15, WKB",110723103,8/7/16 6:59 PM,1,4,6200,specialized_shop
"Microwave oven, 16-22 l, WKB-L",110531103,5/15/16 4:47 PM,1,1,2999,small_medium_shop
"Diesel fuel, normal",110722104,5/11/16 1:38 PM,1,1,16.75,specialized_shop
"Roasted groundnuts (peanuts), WKB",110116203,3/29/16 8:09 PM,180,1,26.09,
"Long-grain rice, parboiled, WKB",110111101,4/20/16 3:36 PM,500,1,8,
"One-bedroom apartment, 40-60 m2",1104111110,3/6/16 4:58 PM,1,1,3000,other
"Men's blue jeans, WKB-L",110312107,4/25/16 7:00 PM,1,1,850,
"Cooking pot, stainless steel, WKB-L",110541101,8/14/16 3:08 PM,1,1,595,small_medium_shop
Fresh onions,110117104,4/5/16 5:02 PM,1000,1,25.9,small_medium_shop
"Bread, whole wheat, WKB",110111303,4/25/16 8:30 PM,360,1,25,small_medium_shop
"Women's haircut, basic hairdresser",111211104,5/15/16 4:29 PM,1,1,240,private_service_provider
"Jam, strawberry or apricot, WKB",110118201,7/18/16 6:16 PM,454,1,30,small_medium_shop
"Football (soccer ball), WKB",110931110,5/10/16 12:52 PM,1,1,385,specialized_shop
"Vacuum cleaner, WKB-M",110531111,3/13/16 7:09 PM,1,1,1699,small_medium_shop
"Dinner plate, flat, porcelain, WKB-L",110541104,8/7/16 3:40 PM,1,1,63.9,small_medium_shop
"Olive oil, extra virgin, WKB",110115302,8/14/16 6:02 PM,500,1,95.7,small_medium_shop
"Men's lace-up shoes, WKB-L",110321101,7/18/16 1:43 PM,1,1,1200,small_medium_shop
Fresh carrots,110117103,7/10/16 4:32 PM,1,1,21.9,small_medium_shop
"Coca cola or Pepsi, at cafe or restaurant",111111121,7/31/16 4:53 PM,380,1,32,private_service_provider
"Vodka, WKB",110211101,5/8/16 8:12 PM,1,1,62,
"Butter biscuits, WKB",110111405,2/10/16 1:47 PM,180,1,15.99,
"Flight, domestic, return ticket",110733107,4/4/16 4:21 AM,1,1,1586,private_service_provider
"Roasted groundnuts (peanuts), WKB",110116203,4/10/16 8:01 PM,250,1,67,small_medium_shop
"Fresh apples, typical local variety",110116111,6/26/16 8:56 PM,1,1,36.99,small_medium_shop
"Football (soccer ball), WKB",110931110,6/26/16 12:15 PM,1,1,515,small_medium_shop
"Two-bedroom apartment, 80-120 m2",1104111113,4/24/16 10:41 PM,1,1,7000,other
"Coca cola or Pepsi, at cafe or restaurant",111111121,6/5/16 9:53 PM,600,1,35,private_service_provider
"Two-bedroom apartment, 80-120 m2",1104111113,5/15/16 2:19 PM,1,1,17000,other
"Instant noodles, any flavor, WKB",110111504,4/18/16 10:17 PM,85,1,13,small_medium_shop
"COCA COLA / PEPSI COLA, can",110122102,3/28/16 9:43 PM,354,1,11,small_medium_shop
"Instant coffee, NESCAFE Classic ",110121102,2/2/16 8:26 PM,170,1,119,small_medium_shop
"Toilet paper, multipack, WKB",111212111,4/4/16 7:47 PM,1,4,56.93,
Fresh onions,110117104,6/26/16 8:56 PM,1,1,18.89,small_medium_shop
"Petrol, Super",110722102,4/2/16 4:52 PM,1,1,16.47,specialized_shop
"Fresh potatoes, brown",110117201,5/8/16 8:46 PM,1,1,7.99,
"AA alkaline batteries, DURACELL",110552104,8/8/16 12:23 AM,1,4,49,small_medium_shop
"Petrol, Super",110722102,5/22/16 4:46 AM,1,1,19.09,specialized_shop
"Men's condoms, WKB",110612103,4/9/16 7:26 PM,1,6,68,
"Men's blue jeans, WKB-L",110312107,5/2/16 5:52 PM,1,1,349,
"Toothpaste, tube, COLGATE",111212104,5/8/16 9:09 PM,140,1,75,
"Women's haircut, basic hairdresser",111211104,5/1/16 5:42 PM,1,1,195,private_service_provider
"Petrol, Superplus",110722103,5/3/16 7:49 PM,1,1,20.84,specialized_shop
"Vodka, WKB",110211101,3/14/16 7:18 PM,1000,1,68.19,
"Olive oil, extra virgin, WKB",110115302,7/4/16 5:09 PM,500,1,95.69,
"Microwave oven, 16-22 l, WKB-L",110531103,5/22/16 10:54 PM,1,1,2919,small_medium_shop
"Instant coffee, NESCAFE Classic ",110121102,3/10/16 6:40 PM,170,1,108.99,
"Men's haircut, barber shop",111211101,6/6/16 3:24 PM,1,1,160,private_service_provider
"Men's lace-up shoes, WKB-L",110321101,5/8/16 7:19 PM,1,1,1990,
"Bath towel, large, WKB",110521103,5/2/16 2:13 PM,1,1,226,
"Bath towel, large, WKB",110521103,4/10/16 7:22 PM,1,1,183,small_medium_shop
"Trolley, soft case, BL",111232104,6/5/16 7:49 PM,1,1,620,small_medium_shop
"Apple juice, WKB",110122104,7/5/16 4:15 PM,1,1,28.59,
"Studio apartment, 35-60 m2",1104111109,5/2/16 5:40 PM,1,1,7000,other
"Bread, white, sliced, WKB",110111305,4/27/16 1:23 PM,400,1,39.79,small_medium_shop
"Bicycle, basic commuter, WKB",110713105,4/3/16 7:14 PM,1,1,7999,small_medium_shop
"Single-family house, 180-240 m2",1104111102,3/21/16 12:39 AM,1,1,6000,other
"Urban tram (rail) or tube, single ticket",110731104,5/2/16 4:08 AM,1,1,4,None
"Olive oil, extra virgin, WKB",110115302,5/2/16 2:53 PM,500,1,98.09,market
"Bath towel, large, WKB",110521103,5/2/16 8:46 PM,1,1,199,
"Single-family house, 180-240 m2",1104111102,5/16/16 8:19 PM,1,1,45000,other
"Bread, white, sliced, WKB",110111305,5/15/16 8:55 PM,400,1,44.51,small_medium_shop
"Cornflakes, excluding KELLOGG'S",110111250,6/13/16 3:56 PM,400,1,24.9,small_medium_shop
Fresh oranges,110116105,4/17/16 5:11 PM,1,1,28.9,small_medium_shop
"Jam, strawberry or apricot, WKB",110118201,3/28/16 12:49 PM,454,1,25,small_medium_shop
"Diesel fuel, normal",110722104,3/13/16 11:13 AM,1,1,14.97,specialized_shop
"Red wine, table wine, BL",110212101,5/8/16 8:57 PM,750,1,43,small_medium_shop
"One-bedroom apartment, 40-60 m2",1104111110,7/2/16 12:10 AM,1,1,9000,other
"Men's blue jeans, WKB-L",110312107,4/24/16 11:43 PM,1,1,701,small_medium_shop
"Men's lace-up shoes, WKB-L",110321101,4/24/16 10:09 PM,1,1,975,
"Bed and breakfast, two-star, capital city",111121105,3/20/16 5:11 PM,1,1,636,other
"Men's sport shoes, ADIDAS, ASICS, NIKE",110321103,3/27/16 8:25 PM,1,1,1300,
"Men's lace-up shoes, WKB-L",110321101,3/13/16 8:47 PM,1,1,710,small_medium_shop
"Studio apartment, 35-60 m2",1104111109,4/5/16 2:36 AM,1,1,3000,other
"Cigarettes, domestic, blond, WKB",110221103,6/26/16 2:30 PM,1,20,43,small_medium_shop
"Men's sport shoes, ADIDAS, ASICS, NIKE",110321103,4/17/16 6:03 PM,1,1,1820,small_medium_shop
"Tuna flakes, tinned, WKB",110113202,6/12/16 7:17 PM,170,1,28,street_outlet
"Instant noodles, any flavor, WKB",110111504,7/18/16 7:41 PM,64,1,24,
"Spaghetti, WKB",110111502,6/19/16 7:12 PM,500,1,17.99,small_medium_shop
"Energy saving light bulb, 15W, WKB",110552103,5/22/16 4:57 PM,1,1,62,small_medium_shop
"Black tea, in bags, WKB",110121105,2/23/16 11:39 PM,100,1,21.95,
"Football (soccer ball), WKB",110931110,5/2/16 4:51 PM,1,1,246,small_medium_shop
"Dishwashing detergent, WKB",110561108,4/17/16 3:36 PM,600,1,34.9,small_medium_shop
"Wrist-watch, men's, CITIZEN Eco-Drive BM6060",111231102,7/24/16 7:55 PM,1,1,2990,specialized_shop
"Butter, unsalted, WKB",110115101,5/22/16 6:15 PM,200,1,26.9,small_medium_shop
"Spaghetti, WKB",110111502,3/27/16 3:09 PM,500,1,8.61,
"Bar soap, solid, SB",111212109,4/29/16 3:21 PM,125,1,12.6,small_medium_shop
"Tomato ketchup, WKB",110119103,5/2/16 2:41 PM,400,1,31,small_medium_shop
"Bar soap, solid, SB",111212109,3/22/16 12:17 AM,125,1,13,
"Men's lace-up shoes, WKB-L",110321101,6/22/16 2:18 PM,1,1,1400,specialized_shop
"Two-bedroom apartment, 80-120 m2",1104111113,5/2/16 2:30 PM,1,1,19500,other
"Fresh potatoes, brown",110117201,4/6/16 4:18 PM,1,1,9.99,
"Men's shirt, WKB-M",110312103,4/25/16 12:05 AM,1,1,507,specialized_shop
"Interurban (InterCity) bus, 50 Km",110732103,5/8/16 9:48 PM,1,1,84,private_service_provider
"Diesel fuel, normal",110722104,3/20/16 8:55 PM,1,1,14.99,specialized_shop
"AA alkaline batteries, DURACELL",110552104,6/5/16 8:06 PM,1,4,40.49,small_medium_shop
"Cooking pot, stainless steel, WKB-L",110541101,7/10/16 11:01 PM,1,1,629,small_medium_shop
"Steam iron, WKB-M",110532104,7/24/16 8:51 PM,1,1,719,small_medium_shop
"Dishwashing detergent, WKB",110561108,4/10/16 4:19 PM,600,1,25.3,small_medium_shop
"Men's haircut, barber shop",111211101,5/8/16 2:00 PM,1,1,180,private_service_provider
"Tomato paste, small, WKB",110117306,2/18/16 2:42 PM,180,1,23.6,small_medium_shop
"Microwave oven, 16-22 l, WKB-L",110531103,7/10/16 4:55 PM,1,1,4646,small_medium_shop
"Men's lace-up shoes, WKB-L",110321101,7/10/16 3:55 PM,1,1,1700,specialized_shop
"Long-grain rice, not parboiled, WKB",110111102,6/6/16 3:29 PM,1,1,15.99,small_medium_shop
"Tuna flakes, tinned, WKB",110113202,4/16/16 10:20 PM,170,1,25.4,
Consultation: general medical practitioner/primary care physician,110621101,8/14/16 12:20 PM,1,1,250,private_service_provider
"Energy saving light bulb, 15W, WKB",110552103,5/22/16 5:27 PM,1,1,60,small_medium_shop
"Men's T-shirt, WKB-L",110312106,4/24/16 8:42 PM,1,1,260,small_medium_shop
"Long-grain rice, not parboiled, WKB",110111102,5/2/16 3:22 PM,1000,1,9.5,small_medium_shop
"Tomato ketchup, WKB",110119103,5/10/16 2:47 PM,400,1,34,
"Sunflower oil, BL",110115301,5/23/16 9:42 PM,900,1,25,small_medium_shop
"Petrol, Superplus",110722103,3/13/16 11:15 AM,1,1,18.89,specialized_shop
"Instant noodles, any flavor, WKB",110111504,3/31/16 10:24 PM,88.5,1,13.42,
"Beef, minced",110112106,6/2/16 2:42 PM,1,1,46.9,
"Fresh bananas, standard",110116102,7/11/16 6:47 PM,1,1,24.9,
"Honey, mixed blossoms, BL",110118204,4/25/16 6:03 PM,470,1,74.85,
Fresh onions,110117104,7/24/16 10:16 PM,1,1,11.99,small_medium_shop
"Honey, mixed blossoms, BL",110118204,4/4/16 1:27 PM,300,1,52.65,
"Dinner plate, flat, porcelain, WKB-L",110541104,8/1/16 4:47 PM,1,1,79,specialized_shop
Fresh oranges,110116105,7/26/16 6:55 PM,1,1,17.9,
"Men's T-shirt, WKB-L",110312106,4/3/16 9:14 PM,1,1,179,small_medium_shop
"Men's sport shoes, ADIDAS, ASICS, NIKE",110321103,7/3/16 5:44 PM,1,1,1799,specialized_shop
"Olive oil, extra virgin, WKB",110115302,5/22/16 5:37 PM,500,1,106,small_medium_shop
"Summer tire, R15, WKB",110723103,5/2/16 12:17 PM,1,4,10692,specialized_shop
"Urban (city) bus, 5-15 km",110732101,4/25/16 3:22 AM,1,1,7,public_semi_public_service
"Tuna flakes, tinned, WKB",110113202,5/3/16 4:23 PM,170,1,26,
"Men's sport shoes, ADIDAS, ASICS, NIKE",110321103,4/17/16 10:11 PM,1,1,1349,specialized_shop
"Urban (city) bus, 5-15 km",110732101,4/18/16 6:27 PM,1,1,18,private_service_provider
"Apple juice, WKB",110122104,5/2/16 8:11 PM,1000,1,17,small_medium_shop
"Wheat flour, not self-rising, BL",110111202,3/25/16 7:32 PM,1,1,9.3,
"Milk, fresh, unskimmed, WKB",110114101,1/21/16 11:58 PM,1,1,11.82,
"Petrol, Super",110722102,7/31/16 3:52 PM,1,1,19.09,specialized_shop
"Fresh bananas, standard",110116102,5/3/16 4:37 PM,1,1,25.99,
Fresh oranges,110116105,7/13/16 5:40 PM,1,1,17.9,
"Fresh apple, red delicious",110116101,6/19/16 6:56 PM,1,1,25.9,small_medium_shop
"Bath towel, large, WKB",110521103,6/13/16 6:13 PM,1,1,159,small_medium_shop
"Car battery,  55 Ah, WKB",110723105,6/2/16 3:19 PM,1,1,1150,specialized_shop
"Two-bedroom apartment, 80-120 m2",1104111113,5/2/16 9:27 PM,1,1,11000,other
"Men's haircut, barber shop",111211101,6/6/16 1:35 AM,1,1,140,private_service_provider
"AA alkaline batteries, DURACELL",110552104,4/25/16 1:26 AM,1,4,44.99,small_medium_shop
"Trolley, soft case, BL",111232104,6/1/16 2:59 PM,1,1,600,
"Plaster strips, plastic foil, WKB",110612105,3/27/16 10:07 PM,1,20,38,small_medium_shop
"Paint, indoor use, washable, WKB",110431101,7/3/16 7:37 PM,10,1,490,specialized_shop
Chicken legs,110112404,5/16/16 2:02 PM,1,1,68.99,
"AA alkaline batteries, DURACELL",110552104,4/24/16 8:18 PM,1,4,29.9,
"Men's sport shoes, ADIDAS, ASICS, NIKE",110321103,4/24/16 9:33 PM,1,1,1499,small_medium_shop
"Cigarette, MALBORO Red",110221101,6/6/16 2:22 PM,1,20,48,
"Two-bedroom apartment, 80-120 m2",1104111113,4/10/16 7:00 PM,1,1,8000,other
"Trolley, soft case, BL",111232104,7/24/16 4:36 PM,1,1,930,small_medium_shop
"Men's sport shoes, ADIDAS, ASICS, NIKE",110321103,4/29/16 1:02 PM,1,1,1200,specialized_shop
"Energy saving light bulb, 15W, WKB",110552103,4/24/16 10:16 PM,1,1,73,small_medium_shop
"Men's shirt, WKB-M",110312103,6/13/16 5:05 PM,1,1,472,small_medium_shop
"Butter biscuits, WKB",110111405,4/17/16 4:40 PM,178,1,15,small_medium_shop
"Sardines, tinned, with skin, in vegetable oil, WKB",110113201,4/19/16 11:51 PM,125,1,22.41,
"Flat bottom sheet, single, cotton, BL",110521104,4/17/16 2:46 PM,1,1,839,small_medium_shop
Fresh onions,110117104,8/8/16 4:52 PM,1,1,19.9,
"Men's blue jeans, WKB-L",110312107,3/13/16 6:44 PM,1,1,453,small_medium_shop
"Dry cleaning, men's two-piece suit",110314101,3/28/16 3:16 PM,1,1,200,private_service_provider
"Men's sport shoes, ADIDAS, ASICS, NIKE",110321103,4/10/16 3:13 PM,1,1,2649,
"Bread, whole wheat, WKB",110111303,12/15/15 7:00 PM,360,1,35.8,
"Plaster strips, plastic foil, WKB",110612105,8/7/16 11:48 PM,1,20,18.4,small_medium_shop
"Instant noodles, any flavor, WKB",110111504,6/9/16 4:43 PM,64,1,22.99,
"Dishwashing detergent, WKB",110561108,4/17/16 3:02 PM,500,1,30,small_medium_shop
"Butter biscuits, WKB",110111405,2/16/16 2:52 PM,180,1,14.9,small_medium_shop
"Tomato ketchup, WKB",110119103,5/11/16 4:21 PM,400,1,31,
"Studio apartment, 35-60 m2",1104111109,3/1/16 3:41 AM,1,1,3800,other
"Energy saving light bulb, 15W, WKB",110552103,8/7/16 11:40 PM,1,1,111,small_medium_shop
"Instant coffee, NESCAFE Classic ",110121102,3/24/16 1:34 PM,100,1,67.99,small_medium_shop
"Flight, domestic, return ticket",110733107,4/12/16 2:51 PM,1,1,3146.11,private_service_provider
"Toilet paper, multipack, WKB",111212111,5/2/16 4:23 PM,1,6,62,small_medium_shop
"Diesel fuel, normal",110722104,4/10/16 8:13 PM,1,1,14.99,specialized_shop
"Fresh apples, typical local variety",110116111,7/24/16 4:44 PM,1,1,40,small_medium_shop
Petrol,110722101,4/6/16 9:20 PM,1,1,15.53,specialized_shop
"Ibuprofen, 400 mg, Tablet/Capsule, Originator",110611135,5/2/16 8:29 PM,1,30,32,small_medium_shop
"Pork, fillet",110112202,1/13/16 11:32 PM,1,1,109,small_medium_shop
"Bath towel, large, WKB",110521103,4/17/16 7:12 PM,1,1,215,
"Red wine, table wine, BL",110212101,5/3/16 4:00 PM,750,1,79.5,small_medium_shop
"Beef, with bones",110112105,2/3/16 2:49 PM,1,1,29.99,
Fresh onions,110117104,7/4/16 7:54 PM,1,1,19.9,
"Women's haircut, basic hairdresser",111211104,7/24/16 4:48 PM,1,1,150,private_service_provider
"Diesel fuel, normal",110722104,6/10/16 3:41 PM,1,1,16.31,specialized_shop
"Plaster strips, plastic foil, WKB",110612105,6/26/16 4:57 PM,1,20,13.5,small_medium_shop
"Football (soccer ball), WKB",110931110,3/6/16 10:09 PM,1,1,159,
"Apple juice, WKB",110122104,3/14/16 4:49 PM,1,1,15.5,
"Energy saving light bulb, 15W, WKB",110552103,6/5/16 11:28 PM,1,1,119,specialized_shop
"Pork, fillet",110112202,5/9/16 1:42 PM,1,1,109.99,market
"Petrol, Super",110722102,7/12/16 5:54 PM,1,1,17.08,specialized_shop
"Milk chocolate bar, WKB",110118301,12/23/15 2:14 PM,100,1,53.97,
"AA alkaline batteries, DURACELL",110552104,6/19/16 1:59 PM,1,4,63,small_medium_shop
Fresh oranges,110116105,5/27/16 7:42 PM,1,1,15.19,small_medium_shop
"Hotel, three-star, capital city",111121103,4/17/16 4:13 AM,1,1,894,other
Fresh oranges,110116105,3/15/16 8:07 PM,1,1,16.9,
"Men's trousers, cotton/polyester, WKB-L",110312104,6/6/16 7:59 PM,1,1,599,
"Butter, unsalted, WKB",110115101,2/9/16 11:09 PM,200,1,29,small_medium_shop
"Bar soap, solid, SB",111212109,2/23/16 10:52 PM,100,1,13.5,
"Bread, whole wheat, WKB",110111303,3/29/16 6:33 PM,400,1,36,small_medium_shop
"Men's blue jeans, WKB-L",110312107,2/22/16 2:40 PM,1,1,549,small_medium_shop
"Fresh bananas, standard",110116102,3/23/16 9:46 PM,1,1,23.99,
"Men's T-shirt, WKB-L",110312106,7/31/16 6:41 PM,1,1,179,small_medium_shop
"Red wine, table wine, BL",110212101,2/28/16 9:55 PM,750,1,66,
"Dinner plate, flat, porcelain, WKB-L",110541104,7/24/16 2:54 PM,1,1,104,small_medium_shop
"Dry cleaning, men's two-piece suit",110314101,6/5/16 12:02 AM,1,1,140,private_service_provider
"Fresh bananas, standard",110116102,5/20/16 8:47 PM,1,1,25.29,small_medium_shop
"Bicycle, basic commuter, WKB",110713105,4/10/16 10:16 PM,1,1,3750,small_medium_shop
"Cement, Grey Portland, WKB",110431103,5/22/16 2:16 PM,40,1,86,specialized_shop
"Petrol, Superplus",110722103,7/10/16 8:12 PM,1,1,20.88,specialized_shop
"Men's sport shoes, ADIDAS, ASICS, NIKE",110321103,5/22/16 10:43 PM,1,1,1729,small_medium_shop
"Black tea, in bags, WKB",110121105,4/16/16 10:22 PM,50,1,6.67,
"Men's blue jeans, WKB-L",110312107,4/11/16 12:29 AM,1,1,549,small_medium_shop
"Men's sport shoes, ADIDAS, ASICS, NIKE",110321103,5/13/16 3:40 PM,1,1,1129,
"Men's shirt, WKB-M",110312103,7/10/16 8:01 PM,1,1,188.3,small_medium_shop
"Plaster strips, plastic foil, WKB",110612105,5/29/16 3:08 PM,1,20,14,small_medium_shop
"Toilet paper, multipack, WKB",111212111,4/24/16 3:37 PM,1,4,38,small_medium_shop
"Cinema ticket, weekend",110942103,6/6/16 1:07 AM,1,1,115,private_service_provider
"Dinner plate, flat, porcelain, WKB-L",110541104,6/8/16 2:48 PM,1,1,120,
"Studio apartment, 35-60 m2",1104111109,7/5/16 12:18 PM,1,1,3500,other
"Tuna flakes, tinned, WKB",110113202,2/18/16 2:49 PM,170,1,14.5,small_medium_shop
"Men's T-shirt, WKB-L",110312106,8/7/16 4:42 PM,1,1,249,small_medium_shop
"Women's haircut, basic hairdresser",111211104,7/31/16 2:32 PM,1,1,290,private_service_provider
"Vodka, WKB",110211101,8/8/16 4:55 PM,750,1,200,
"Men's shirt, WKB-M",110312103,5/16/16 5:28 PM,1,1,699,specialized_shop
"Dinner plate, flat, porcelain, WKB-L",110541104,5/2/16 5:32 PM,1,1,125,small_medium_shop
"Car hire, 1 day, unlimited mileage, WKB",110724102,7/26/16 1:35 AM,1,1,785.65,private_service_provider
